filepath,filesize,formatted_filesize,catalogue_id,filename
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_001/Dainik Nadiya Prakash01 sample.pdf,19780408,19.8 MB,ochs_b_000_001,Dainik Nadiya Prakash01 sample.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_001/split/_00000001.pdf,2551023,2.6 MB,ochs_b_000_001,_00000001.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_001/split/_00000002.pdf,2740067,2.7 MB,ochs_b_000_001,_00000002.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_001/split/_00000003.pdf,2288510,2.3 MB,ochs_b_000_001,_00000003.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_001/split/_00000004.pdf,1996815,2 MB,ochs_b_000_001,_00000004.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_001/split/_00000005.pdf,2425186,2.4 MB,ochs_b_000_001,_00000005.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_001/split/_00000006.pdf,2356627,2.4 MB,ochs_b_000_001,_00000006.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_001/split/_00000007.pdf,2697136,2.7 MB,ochs_b_000_001,_00000007.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_001/split/_00000008.pdf,2723255,2.7 MB,ochs_b_000_001,_00000008.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_002/Dainik Nadiya Prakash02 sample.pdf,21400479,21.4 MB,ochs_b_000_002,Dainik Nadiya Prakash02 sample.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_002/split/_00000001.pdf,2535108,2.5 MB,ochs_b_000_002,_00000001.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_002/split/_00000002.pdf,2537673,2.5 MB,ochs_b_000_002,_00000002.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_002/split/_00000003.pdf,2723479,2.7 MB,ochs_b_000_002,_00000003.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_002/split/_00000004.pdf,2834147,2.8 MB,ochs_b_000_002,_00000004.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_002/split/_00000005.pdf,2772012,2.8 MB,ochs_b_000_002,_00000005.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_002/split/_00000006.pdf,2735736,2.7 MB,ochs_b_000_002,_00000006.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_002/split/_00000007.pdf,2527733,2.5 MB,ochs_b_000_002,_00000007.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_002/split/_00000008.pdf,2732817,2.7 MB,ochs_b_000_002,_00000008.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_003/Dainik Nadiya Prakash03 sample.pdf,21745165,21.7 MB,ochs_b_000_003,Dainik Nadiya Prakash03 sample.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_003/split/_00000001.pdf,2515883,2.5 MB,ochs_b_000_003,_00000001.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_003/split/_00000002.pdf,2885215,2.9 MB,ochs_b_000_003,_00000002.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_003/split/_00000003.pdf,2842207,2.8 MB,ochs_b_000_003,_00000003.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_003/split/_00000004.pdf,2673718,2.7 MB,ochs_b_000_003,_00000004.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_003/split/_00000005.pdf,2897072,2.9 MB,ochs_b_000_003,_00000005.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_003/split/_00000006.pdf,2355223,2.4 MB,ochs_b_000_003,_00000006.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_003/split/_00000007.pdf,2768849,2.8 MB,ochs_b_000_003,_00000007.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_003/split/_00000008.pdf,2805220,2.8 MB,ochs_b_000_003,_00000008.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/OCHS_B_0000_0004_gaudiya.pdf,15433707,15.4 MB,ochs_b_000_004,OCHS_B_0000_0004_gaudiya.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000001.pdf,508049,508 KB,ochs_b_000_004,_00000000000000000000000000001.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000002.pdf,140112,140.1 KB,ochs_b_000_004,_00000000000000000000000000002.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000003.pdf,340610,340.6 KB,ochs_b_000_004,_00000000000000000000000000003.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000004.pdf,637815,637.8 KB,ochs_b_000_004,_00000000000000000000000000004.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000005.pdf,611677,611.7 KB,ochs_b_000_004,_00000000000000000000000000005.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000006.pdf,322875,322.9 KB,ochs_b_000_004,_00000000000000000000000000006.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000007.pdf,676734,676.7 KB,ochs_b_000_004,_00000000000000000000000000007.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000008.pdf,494617,494.6 KB,ochs_b_000_004,_00000000000000000000000000008.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000009.pdf,555501,555.5 KB,ochs_b_000_004,_00000000000000000000000000009.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000010.pdf,486595,486.6 KB,ochs_b_000_004,_00000000000000000000000000010.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000011.pdf,519456,519.5 KB,ochs_b_000_004,_00000000000000000000000000011.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000012.pdf,552350,552.4 KB,ochs_b_000_004,_00000000000000000000000000012.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000013.pdf,595144,595.1 KB,ochs_b_000_004,_00000000000000000000000000013.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000014.pdf,450631,450.6 KB,ochs_b_000_004,_00000000000000000000000000014.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000015.pdf,496943,496.9 KB,ochs_b_000_004,_00000000000000000000000000015.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000016.pdf,513139,513.1 KB,ochs_b_000_004,_00000000000000000000000000016.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000017.pdf,561259,561.3 KB,ochs_b_000_004,_00000000000000000000000000017.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000018.pdf,679007,679 KB,ochs_b_000_004,_00000000000000000000000000018.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000019.pdf,554687,554.7 KB,ochs_b_000_004,_00000000000000000000000000019.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000020.pdf,511323,511.3 KB,ochs_b_000_004,_00000000000000000000000000020.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000021.pdf,406711,406.7 KB,ochs_b_000_004,_00000000000000000000000000021.pdf
https://bengali-texts.s3.eu-west-2.amazonaws.com/ochs_b_000_004/split/_00000000000000000000000000022.pdf,449542,449.5 KB,ochs_b_000_004,_00000000000000000000000000022.pdf
