photo,notes,page_number,article,article2,article3,article4,article5,article6,article7
DOC__000,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC__001,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC__002,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC__003,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC__004,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC__005,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC__006,NA,৯,গৌড়ীয়ে প্রীতি,NA,NA,NA,NA,NA,NA
DOC__007,NA,১০,NA,NA,NA,NA,NA,NA,NA
DOC__008,NA,১১,বৈরাগ্য বিলাস,NA,NA,NA,NA,NA,NA
DOC__009,NA,১২,NA,NA,NA,NA,NA,NA,NA
DOC__010,NA,১৩,NA,NA,NA,NA,NA,NA,NA
DOC__011,NA,১৪,বেদান্ত পূর্ব্বভাষ,NA,NA,NA,NA,NA,NA
DOC__012,NA,১৫,NA,NA,NA,NA,NA,NA,NA
DOC__013,NA,১৬,NA,NA,NA,NA,NA,NA,NA
DOC__014,NA,১৭,দুনিয়ার দৌড়,NA,NA,NA,NA,NA,NA
DOC__015,NA,১৮,NA,NA,NA,NA,NA,NA,NA
DOC__016,NA,১৯,NA,NA,NA,NA,NA,NA,NA
DOC__017,NA,২০,ভারতীয়,NA,NA,NA,NA,NA,NA
DOC__018,NA,২১,ভবগুরের উক্তি,NA,NA,NA,NA,NA,NA
DOC__019,NA,২২,প্রচার প্রসঙ্গ,NA,NA,NA,NA,NA,NA
DOC__020,NA,২৩,NA,NA,NA,NA,NA,NA,NA
DOC__021,NA,২৪,NA,NA,NA,NA,NA,NA,NA
DOC__022,NA,২৫,NA,NA,NA,NA,NA,NA,NA
DOC__023,NA,২৬,NA,NA,NA,NA,NA,NA,NA
DOC__024,NA,২৭,NA,NA,NA,NA,NA,NA,NA
DOC__025,NA,২৮,NA,NA,NA,NA,NA,NA,NA
DOC__026,NA,২৯,বৈদেশিক,NA,NA,NA,NA,NA,NA
DOC__027,NA,৩০,NA,NA,NA,NA,NA,NA,NA
DOC__028,NA,৩১,দুর্গা পূজা,NA,NA,NA,NA,NA,NA
