name,year,url
Shabda-Sagara,1900,https://www.sanskrit-lexicon.uni-koeln.de/scans/SHSScan/2020/web/webtc/indexcaller.php
Monier-Williams (1899),1899,https://www.sanskrit-lexicon.uni-koeln.de/scans/MWScan/2020/web/webtc/indexcaller.php
Macdonell,1893,https://www.sanskrit-lexicon.uni-koeln.de/scans/MDScan/2020/web/webtc/indexcaller.php
Cappeller,1891,https://www.sanskrit-lexicon.uni-koeln.de/scans/CAEScan/2020/web/webtc/indexcaller.php
Apte Practical,1890,https://www.sanskrit-lexicon.uni-koeln.de/scans/AP90Scan/2020/web/webtc/indexcaller.php
Lanman's,1884,https://www.sanskrit-lexicon.uni-koeln.de/scans/LANScan/2020/web/webtc/indexcaller.php
Monier-Williams (1872),1872,https://www.sanskrit-lexicon.uni-koeln.de/scans/MW72Scan/2020/web/webtc/indexcaller.php
Benfey,1866,https://www.sanskrit-lexicon.uni-koeln.de/scans/BENScan/2020/web/webtc/indexcaller.php
Goldstücker,1856,https://www.sanskrit-lexicon.uni-koeln.de/scans/GSTScan/2020/web/webtc/indexcaller.php
Yates,1846,https://www.sanskrit-lexicon.uni-koeln.de/scans/YATScan/2020/web/webtc/indexcaller.php
Wilson,1832,https://www.sanskrit-lexicon.uni-koeln.de/scans/WILScan/2020/web/webtc/indexcaller.php
